Nama,Nama_Display,Brand,Harga_Rupiah,Harga_Numeric,Sistem_Operasi,GPU,Tipe_GPU,CPU,Tipe_CPU,RAM,RAM_Numeric,Tipe_RAM,Penyimpanan,Penyimpanan_Numeric,Tipe_Penyimpanan,Berat,Berat_Numeric,Ukuran_Layar,Ukuran_Layar_Numeric,Tipe_Panel_Layar,Resolusi_Layar,Deskripsi,Product_URL,Image_URL,Label,Auto_Tag,Metadata
ACER ASPIRE GO 14 AG14 I3 1315 16GB 512GB W11+OHS+M365B 14.0WUXGA IPS SLV -72P.38G2,ACER ASPIRE GO 14,Acer,"9,249,000.00",9249000,Windows 11,Intel UHD Graphics,Intel,Intel Core i3-1315U,Intel,16 GB,16,LPDDR4,512 GB,512,SSD,1.49 kg,1.49,14 Inch,14.0,IPS,WUXGA 1920 x 1200,"Brand: Acer | Tipe: Aspire Go 14 | Color: Silver | Operating System: Windows 11 Home + Office Home & Student + Microsoft 365 1 Year | Processor: Intel Core i3-1315U (Cache 10 MB, up to 4.50 GHz) | Graphics: Intel UHD Graphics | RAM: 16 GB LPDDR4 | Storage: 512 GB SSD NVMe Gen3 | Main Display Size: 14 Inch | Main Display Type: WUXGA Acer ComfyView LED-backlit TFT LCD | Display Resolution: 1920 x 1200 | Camera: HD Webcam with Acer Temporal Noise Reduction | Audio: Two built-in stereo speakers | Connectivity: Wi-Fi 802.11 a/b/g/n/ac/ax, Bluetooth 5.0 | Ports: 2x USB 3.2 Gen 1 1x USB-C 1x HDMI 2.0 1x DC-in 1x 3.5 mm Audio Jack | Warranty: Official Acer Indonesia 1 Year",https://www.agres.id/products/acer-aspire-go-14-ag14-i3-1315-16gb-512gb-w11ohsm365b-140wuxga-ips-slv-72p38g2,https://res.cloudinary.com/dbuug9eey/image/upload/v1775639074/products/zg2dsiocnj4qmvizg3xu.jpg,"murah, terjangkau, multitasking, lancar, kinerja cepat, boot cepat, loading cepat, office, kuliah, presentasi",cpu intel performa dasar grafis ringan multitasking lancar penyimpanan besar ringan layar sedang layar bagus resolusi standar cocok kerja mudah dibawa cocok office,acer aspire go 14 intel core i3 1315u uhd graphics grafis terintegrasi ram 16gb ssd 512gb layar 14.0 inch cpu performa dasar ringan multitasking lancar penyimpanan besar sedang bagus resolusi standar cocok kerja mudah dibawa office nugas skripsi kuliah sekolah pelajar mahasiswa browsing internet zoom meeting nonton film youtube word excel presentasi ppt kantor buka banyak tab aplikasi anti lelet coding programming programmer software analis data sering bepergian traveling mobilitas tinggi enteng tipis ke kampus nongkrong cafe murah cepat
ACER ASPIRE GO 14 AI ULTRA 7 155H 16GB 512GB W11+OHS+M365B 14.0WUXGA 100RGB IPS GRY -71M.7705,ACER ASPIRE GO 14,Acer,"12,399,000.00",12399000,Windows 11,Intel Arc Graphics,Intel,Intel Core Ultra 7 155H,Intel,16 GB,16,DDR5,512 GB,512,SSD,1.5 kg,1.50,14 Inch,14.0,IPS,WUXGA 1920 x 1200,"Brand: Acer | Tipe: Aspire Go | Color: Grey | Operating System: Windows 11 Home + Microsoft Office Home & Student + 1 Year Microsoft 365 Basic | Processor: Intel Core Ultra 7 155H with AI Boost, 16 Cores (6P + 8E + 2 LP E-Cores), up to 4.8 GHz | Graphics: Intel Arc Graphics | RAM: 16 GB DDR5 (Upgradeable up to 32 GB, 2x SODIMM) | Storage: 512 GB SSD NVMe | Main Display Size: 14 Inch | Main Display Type: IPS, Acer ComfyView™, Matte | Display Resolution: WUXGA 1920 x 1200, 100% sRGB | Camera: FHD Webcam | Audio: Two built-in stereo speakers | Battery: 55 Wh | Connectivity: Wi-Fi 6, Bluetooth 5.0 | Ports: 2x USB-A 1x USB-C 1x HDMI 2.1 1x Headphone / microphone combo jack 1x microSD card reader 1x Ethernet (RJ-45) | Weight:1.5 kg | Warranty: Official Acer Warranty 1 Year + Service 3 Years + 3 Months",https://www.agres.id/products/acer-aspire-go-14-ai-ultra-7-155h-16gb-512gb-w11ohsm365b-140-wuxga-100rgb-ips-gry--71m7705,https://res.cloudinary.com/dbuug9eey/image/upload/v1768366071/products/kuzst4xzoj1icmg7uzzr.jpg,"gaming berat, editing video, render 3d, menengah, multitasking, lancar, kinerja cepat, boot cepat, loading cepat, office, kuliah, presentasi",cpu intel performa tinggi grafis modern multitasking lancar penyimpanan besar ringan layar sedang layar bagus resolusi standar cocok kerja mudah dibawa,acer aspire go 14 intel core ultra 7 155h arc graphics grafis terintegrasi ram 16gb ssd 512gb layar 14.0 inch cpu performa tinggi modern multitasking lancar penyimpanan besar ringan sedang bagus resolusi standar cocok kerja mudah dibawa kantor buka banyak tab aplikasi anti lelet coding programming programmer software analis data main game valorant dota genshin impact esports edit video desain canva photoshop corel illustrator konten kreator sering bepergian traveling mobilitas enteng tipis ke kampus nongkrong cafe gaming berat editing render 3d cepat office kuliah presentasi
ACER ASPIRE GO SPIN AGSP14 TOUCH I3 N355 8GB 512GB W11+OHS 14.0WUXGA PEN 2IN1 SLV -31PT.386W,ACER ASPIRE GO SPIN,Acer,"8,999,000.00",8999000,Windows 11,Integrated Intel UHD Graphics,Intel,Intel Core 3 N355,Intel,8 GB,8,LPDDR5,512 GB,512,SSD,1.5 kg,1.50,14 Inch,14.0,IPS,WUXGA 1920 x 1200,"Brand: Acer | Tipe: Aspire Go | Color: Silver | Operating System: Windows 11 Home + Microsoft Office Home & Student | Processor: Intel Core 3 N355 processor, 8 Cores, up to 3.9 GHz | Graphics: Integrated Intel UHD Graphics | RAM: 8 GB LPDDR5 Dual Channel | Storage: 512 GB SSD PCIe Gen 4 NVMe | Main Display Size: 14 Inch | Main Display Type: IPS, Acer ComfyView LED Backlit | Display Resolution: WUXGA 1920 x 1200 | Camera: HD 720p with Temporal Noise Reduction | Audio: DTS Audio optimized bass | Connectivity: Wi-Fi 6, Bluetooth 5.2 | Ports: 2x USB-A (USB 3.2 Gen 1) 1x USB-C Thunderbolt 4 1x HDMI 2.1 1x Headphone / microphone combo jack | Weight: 1.5 kg | Warranty: Official Acer Warranty 1 Year",https://www.agres.id/products/acer-aspire-go-spin-agsp14-touch-core-i3-n355-8gb-512gb-w11ohs-140wuxga-pen-2in1-slv--31pt386w,https://res.cloudinary.com/dbuug9eey/image/upload/v1765272023/products/spwkt9zp3n9zb1fqlcop.jpg,"murah, terjangkau, tugas ringan, office dasar, boot cepat, loading cepat, office, kuliah, presentasi",cpu intel performa dasar grafis ringan multitasking cukup penyimpanan besar ringan layar sedang layar bagus resolusi standar mudah dibawa cocok office,acer aspire go spin intel core 3 n355 integrated uhd graphics grafis terintegrasi ram 8gb ssd 512gb layar 14.0 inch cpu performa dasar ringan multitasking cukup penyimpanan besar sedang bagus resolusi standar mudah dibawa cocok office nugas skripsi kuliah sekolah pelajar mahasiswa browsing internet zoom meeting nonton film youtube word excel presentasi ppt sering bepergian traveling mobilitas tinggi enteng tipis ke kampus nongkrong cafe murah tugas cepat
ACER ASPIRE LITE 14 AL14 N4500 8GB 512GB W11+OHS+M365 14.0FHD IPS GRY -36P.C7VD,ACER ASPIRE LITE 14,Acer,"6,449,000.00",6449000,Windows 11,Intel UHD Graphics,Intel,Intel N4500,Intel,8 GB,8,DDR4,512 GB,512,SSD,1.35 kg,1.35,14 Inch,14.0,IPS,FHD 1920 x 1080,"Brand: Acer | Tipe: Aspire Lite 14 AL14 | Color: Pink | Operating System: Windows 11 Home + Office Home & Student + 1 Year Microsoft 365 Basic | Processor: Intel® Celeron® N4500 (up to 2.8 GHz) | Graphics: Intel® UHD Graphics | RAM: 8 GB DDR4 | Storage: 512 GB SSD NVMe | Main Display Size: 14 Inch | Main Display Type: IPS, Acer ComfyView™, Anti-glare | Display Resolution: FHD 1920 x 1080 | Camera: HD Webcam | Audio: Dual stereo speakers | Battery: 45 Wh | Connectivity: Wi-Fi 6, Bluetooth | Ports: 1x USB-C (USB 3.2 Gen 1), 1x USB-C (USB 2.0), 1x USB-A (USB 3.2 Gen 1)",https://www.agres.id/products/acer-aspire-lite-14-al14-n4500-8gb-512gb-w11ohsm365-140fhd-ips-pink-36pc7q8,https://res.cloudinary.com/dbuug9eey/image/upload/v1777524805/products/uyslfm3v45bm0tf82mo9.jpg,"murah, terjangkau, tugas ringan, office dasar, boot cepat, loading cepat, office, kuliah, presentasi",cpu intel performa dasar grafis ringan multitasking cukup penyimpanan cukup ringan layar sedang layar bagus resolusi standar mudah dibawa cocok office,acer aspire lite 14 intel n4500 uhd graphics grafis terintegrasi ram 8gb ssd 512gb layar 14.0 inch cpu performa dasar ringan multitasking cukup penyimpanan besar sedang bagus resolusi standar mudah dibawa cocok office nugas skripsi kuliah sekolah pelajar mahasiswa browsing internet zoom meeting nonton film youtube word excel presentasi ppt sering bepergian traveling mobilitas tinggi enteng tipis ke kampus nongkrong cafe murah tugas cepat
ACER ASPIRE LITE 14 AL14 RYZEN 3 5300 8GB 512GB W11+OHS+M365B 14.0WUXGA IPS SLV -42P.R2RJ,ACER ASPIRE LITE 14,Acer,"7,649,000.00",7649000,Windows 11,AMD Radeon Graphics,AMD,AMD Ryzen 3 5300U,AMD,8 GB,8,DDR4,512 GB,512,SSD,1.5 kg,1.50,14 Inch,14.0,IPS,WUXGA 1920 x 1200,"Brand: Acer | Tipe: Aspire Lite 14 | Color: Silver | Operating System: Windows 11 Home + Office Home & Student + Microsoft 365 Basic 1 Year | Processor: AMD Ryzen 3 5300U, 4 Cores, Up to 3.8 GHz | Graphics: AMD Radeon Graphics | RAM: 8 GB DDR4 | Storage: 512 GB PCIe NVMe SSD | Main Display Size: 14 Inch | Main Display Type: IPS, Acer ComfyView LED-backlit TFT LCD | Display Resolution: WUXGA 1920 x 1200 | Camera: FHD Camera | Audio: Two Built-in Stereo Speakers | Battery: 58 Wh Power Adapter: - Keyboard: Chicklet Keyboard | Connectivity: Wi-Fi 6, Bluetooth 5.2 | Ports: 1x USB 3.2 Gen 1 2x USB Type-C Full Function (DC-In, Charge, Data, Display) 1x HDMI 1.4 | Warranty: 2 Years Official Warranty",https://www.agres.id/products/acer-aspire-lite-14-al14-ryzen-3-5300-8gb-512gb-w11ohsm365b-140wuxga-ips-slv-42pr2rj,https://res.cloudinary.com/dbuug9eey/image/upload/v1765181053/products/ykgxuwnupmdjgomxgufr.jpg,"gaming ringan, esports, murah, terjangkau, tugas ringan, office dasar, boot cepat, loading cepat, office, kuliah, presentasi",cpu amd performa dasar grafis menengah multitasking cukup penyimpanan besar ringan layar sedang layar bagus resolusi standar mudah dibawa,acer aspire lite 14 amd ryzen 3 5300u radeon graphics ram 8gb ssd 512gb layar 14.0 inch cpu performa dasar grafis menengah multitasking cukup penyimpanan besar ringan sedang bagus resolusi standar mudah dibawa nugas skripsi kuliah sekolah pelajar mahasiswa browsing internet zoom meeting nonton film youtube word excel presentasi ppt main game valorant dota genshin impact esports edit video desain canva photoshop corel illustrator konten kreator sering bepergian traveling mobilitas tinggi enteng tipis ke kampus nongkrong cafe gaming murah tugas office cepat
ACER ASPIRE LITE 14 AL14 RYZEN 3 5400 8GB 512GB W11+OHS+M365B 14.0WUXGA IPS SLV -45P.R8JN,ACER ASPIRE LITE 14,Acer,"7,799,000.00",7799000,Windows 11,AMD Radeon Graphics,AMD,AMD Ryzen 3 5400U,AMD,8 GB,8,DDR4,512 GB,512,SSD,1.4 kg,1.40,14 Inch,14.0,IPS,WUXGA 1920 x 1200,"Brand: Acer | Tipe: Aspire Lite 14 AL14 | Color: Silver | Operating System: Windows 11 Home Single Language + Office Home Student + Microsoft 365 Basic | Processor: AMD Ryzen 3 5400U, 4 Cores 8 Threads, up to 4.0 GHz | Graphics: AMD Radeon Graphics | RAM: 8 GB DDR4 3200 MHz (Upgradeable to 32 GB, Dual Slot) | Storage: 512 GB PCIe NVMe M.2 SSD | Main Display Size: 14 Inch | Main Display Type: IPS, Acer ComfyView LED-backlit TFT LCD | Display Resolution: WUXGA 1920 x 1200, Wide viewing angle up to 170 degrees | Camera: FHD Camera | Audio: Two built-in stereo speakers | Battery: 58 Wh Charger: 65 W AC Adapter | Connectivity: Wi-Fi 6 (2x2), Bluetooth 5.2 | Ports: 1x USB 3.2 Gen 1 2x USB Type-C (Full Function: DC-In, Charge, Data, Display) 1x HDMI 1.4 with HDCP support | Weight: 1.40 kg | Warranty: Official Acer Warranty 2 Years",https://www.agres.id/products/acer-aspire-lite-14-al14-ryzen-3-5400-8gb-512gb-w11ohsm365b-140wuxga-ips-slv-45pr8jn,https://res.cloudinary.com/dbuug9eey/image/upload/v1775894854/products/ljp4qdw6ufrtihvr1hks.jpg,"gaming ringan, esports, ringan, tipis, mudah dibawa, travel, murah, terjangkau, tugas ringan, office dasar, boot cepat, loading cepat, office, kuliah, presentasi",cpu amd performa dasar grafis menengah multitasking cukup penyimpanan besar ringan layar sedang layar bagus resolusi standar mudah dibawa,acer aspire lite 14 amd ryzen 3 5400u radeon graphics ram 8gb ssd 512gb layar 14.0 inch cpu performa dasar grafis menengah multitasking cukup penyimpanan besar ringan sedang bagus resolusi standar mudah dibawa nugas skripsi kuliah sekolah pelajar mahasiswa browsing internet zoom meeting nonton film youtube word excel presentasi ppt main game valorant dota genshin impact esports edit video desain canva photoshop corel illustrator konten kreator sering bepergian traveling mobilitas tinggi enteng tipis ke kampus nongkrong cafe gaming travel murah tugas office cepat
ACER ASPIRE LITE 15 AL15 RYZEN 5 8640HS 8GB 512GB W11+OHS+M365B 15.0FHD IPS SLV -61P.R3QE,ACER ASPIRE LITE 15,Acer,"9,599,000.00",9599000,Windows 11,Integrated AMD Radeon Graphics,AMD,AMD Ryzen 5 8640HS,AMD,8 GB,8,DDR5,512 GB,512,SSD,1.75 kg,1.75,"15,6 Inch",15.6,IPS,FHD 1920 x 1080,Brand: Acer | Tipe: Aspire Lite 15 | Color: Light Silver | Operating System: Windows 11 Home + Microsoft Office Home & Student + 1 Year Microsoft 365 Basic | Processor: AMD Ryzen 5 8640HS 6 Cores 12 Threads Base Clock 3.5 GHz Up to 4.9 GHz 6 MB L2 Cache 16 MB L3 Cache | Graphics: Integrated AMD Radeon Graphics | RAM: 8 GB DDR5 | Storage: 512 GB SSD NVMe | Main Display Size: 15.6 Inch | Main Display Type: IPS Acer ComfyView LED Backlit | Display Resolution: FHD 1920 x 1080 Viewing Angle: Up to 170 Degrees | Camera: FHD Camera | Audio: Two Built in Stereo Speakers Keyboard: Chiclet Keyboard | Battery: 58 Wh | Connectivity: WiFi 6 Bluetooth 5.1 | Ports: 3x USB A USB 3.2 Gen 1 1x USB C Full Function DC In Charge Data Display 1x HDMI 1.4 with HDCP Support 1x Audio Jack 1x MicroSD Card Reader,https://www.agres.id/products/acer-aspire-lite-15-al15-ryzen-5-8640hs-8gb-512gb-w11ohsm365b-156fhd-ips-slv-61pr3qe,https://res.cloudinary.com/dbuug9eey/image/upload/v1767870079/products/mynwozctvuzucgjnrxyx.jpg,"gaming ringan, esports, layar besar, nyaman nonton, multimedia, murah, terjangkau, tugas ringan, office dasar, boot cepat, loading cepat, office, kuliah, presentasi",cpu amd performa menengah grafis menengah multitasking cukup penyimpanan besar sedang layar sedang layar bagus resolusi standar,acer aspire lite 15 amd ryzen 5 8640hs integrated radeon graphics grafis terintegrasi ram 8gb ssd 512gb layar 15.6 inch cpu performa menengah multitasking cukup penyimpanan besar sedang bagus resolusi standar nugas skripsi kuliah sekolah pelajar mahasiswa browsing internet zoom meeting nonton film youtube word excel presentasi ppt main game ringan valorant dota genshin impact esports edit video desain canva photoshop corel illustrator konten kreator gaming nyaman multimedia murah tugas office dasar cepat
ACER ASPIRE SPIN ASP14 TOUCH ULTRA 7 155U 16GB 1TB W11+OHS 14.0WUXGA PEN 2IN1 GRY -52MTN.706P,ACER ASPIRE SPIN ASP14,Acer,"15,499,000.00",15499000,Windows 11,Intel Graphics,Intel,Intel Core Ultra 7 155U,Intel,16 GB,16,LPDDR5,1 TB,1024,SSD,1.5 kg,1.50,14 Inch,14.0,IPS,WUXGA 1920 x 1200,"Brand: Acer | Tipe: Aspire 14 | Color: Grey | Operating System: Windows 11 Home + Microsoft Office Home & Student | Processor: Intel Core Ultra 7 155U | Graphics: Intel Graphics | RAM: 16 GB LPDDR5 Dual Channel (Onboard) | Storage: 1 TB SSD PCIe Gen4 NVMe | Main Display Size: 14 Inch | Main Display Type: IPS, Acer ComfyView, Touchscreen | Display Resolution: WUXGA 1920 x 1200 | Camera: FHD 1080p Webcam 60fps with Temporal Noise Reduction | Audio: DTS Audio with optimized bass and Acer Purified Voice AI Noise Reduction | Battery: 50 Wh Charger: 65 W | Connectivity: Wi-Fi 6E, Bluetooth 5.3 | Ports: 2x USB 3.2 Gen 1 1x Thunderbolt 4 1x HDMI 2.1 | Weight: 1.5 kg | Warranty: Official Acer Warranty 1 Year",https://www.agres.id/products/acer-aspire-spin-asp14-touch-ultra-7-155u-16gb-1tb-w11ohs-140wuxga-pen-2in1-gry--52mtn706p,https://res.cloudinary.com/dbuug9eey/image/upload/v1765274158/products/yrnptep8x8watg63cunb.jpg,"gaming berat, editing video, render 3d, menengah, multitasking, lancar, kinerja cepat, boot cepat, loading cepat, office, kuliah, presentasi",cpu intel performa tinggi grafis ringan multitasking lancar penyimpanan sangat besar ringan layar sedang layar bagus resolusi standar cocok kerja mudah dibawa cocok office,acer aspire spin asp14 intel core ultra 7 155u graphics grafis terintegrasi ram 16gb ssd 1tb layar 14.0 inch cpu performa tinggi ringan multitasking lancar penyimpanan sangat besar sedang bagus resolusi standar cocok kerja mudah dibawa office nugas skripsi kuliah sekolah pelajar mahasiswa browsing internet zoom meeting nonton film youtube word excel presentasi ppt kantor buka banyak tab aplikasi anti lelet coding programming programmer software analis data sering bepergian traveling mobilitas enteng tipis ke kampus nongkrong cafe gaming berat editing video render 3d cepat
ACER NITRO LITE 16 CORE 7 240H RTX3050 6GB/ 16GB 512GB W11+OHS+M365B 16.0WUXGA 180HZ 100SRGB BLIT 2Y+ADP WHT -71G.75QK,ACER NITRO LITE 16,Acer,"15,399,000.00",15399000,Windows 11,NVIDIA GeForce RTX 3050,NVIDIA,Intel Core 7 240H,Intel,16 GB,16,DDR5,512 GB,512,SSD,1.95 kg,1.95,16 Inch,16.0,IPS,WUXGA 1920 x 1200,"Brand: Acer | Tipe: NITRO LITE 16 | Color: White | Operating System: Windows 11 Home Single Language + Microsoft Office Home and Student + Microsoft 365 Basic | Processor: Intel Core 7 240H, 10C / 16T, up to 4.8GHz | Graphics: NVIDIA GeForce RTX 3050 6GB GDDR6 | RAM: 16 GB DDR5 | Storage: 512 GB SSD M.2 PCIe 4.0 NVMe | Main Display Size: 16 Inch | Main Display Type: IPS, Anti-glare, ComfyView | Display Resolution: WUXGA 1920 x 1200 | Audio: Stereo speakers x2 Power Adapter: 100W Keyboard: Backlit White | Connectivity: Wi-Fi 6, Bluetooth 5.0 | Ports: 2x USB 3.2 Gen 1 1x USB-C 3.2 Gen 2 1x HDMI 1x RJ-45 1x Headphone / microphone combo jack | Weight: 1.95 kg",https://www.agres.id/products/acer-nitro-lite-16-i7-240h-rtx3050-6gb-16gb-512gb-w11ohs-160wuxga-180hz-100srgb-2y-white-71g-75qk,https://res.cloudinary.com/dbuug9eey/image/upload/v1765359831/products/avic9zrdeg2ognb4e9y5.jpg,"gaming berat, editing video, render 3d, layar besar, nyaman nonton, multimedia, menengah, multitasking, lancar, kinerja cepat, boot cepat, loading cepat, office, kuliah, presentasi",cpu intel performa dasar gaming berat multitasking lancar penyimpanan besar sedang layar besar layar bagus resolusi standar cocok gaming cocok kerja,acer nitro lite 16 intel core 7 240h nvidia geforce rtx 3050 ram 16gb ssd 512gb layar 16.0 inch cpu performa dasar gaming berat multitasking lancar penyimpanan besar sedang bagus resolusi standar cocok kerja nugas skripsi kuliah sekolah pelajar mahasiswa browsing internet zoom meeting nonton film youtube word excel presentasi ppt kantor buka banyak tab aplikasi anti lelet coding programming programmer software analis data gamer rata kanan gta cyberpunk render 3d autocad blender sketchup video editor profesional premiere pro after effects editing nyaman multimedia cepat office
ACER NITRO LITE 16 CORE I5 210H RTX3050 6GB/ 16GB 512GB W11+OHS 16.0WUXGA 180HZ 100SRGB BLIT 2Y+ADP BLK -71G.5613,ACER NITRO LITE 16,Acer,"14,399,000.00",14399000,Windows 11,NVIDIA GeForce RTX 3050,NVIDIA,Intel Core 5 210H,Intel,16 GB,16,DDR5,512 GB,512,SSD,2.4 kg,2.40,16 Inch,16.0,IPS,WUXGA 1920 x 1200,"Brand: Acer | Tipe: Nitro Lite 16 | Color: Black | Operating System: Windows 11 Home + Microsoft Office Home Student | Processor: Intel Core 5 210H (8C/12T, up to 4.8GHz) | Graphics: NVIDIA GeForce RTX 3050 6GB GDDR6 | RAM: 16 GB DDR5 (2x8GB, Up to 24GB) | Storage: 512 GB SSD NVMe | Main Display Size: 16 Inch | Main Display Type: IPS, Acer ComfyView LED Backlit TFT LCD | Display Resolution: WUXGA 1920 x 1200, 180Hz, 100% sRGB | Camera: FHD 1080p | Audio: Dual Speakers | Battery: 53 Wh Charger: 100 W | Connectivity: Wi-Fi 6, Bluetooth 5.1 | Ports: 2x USB-A 1x USB-C Thunderbolt 1x HDMI 2.1 1x Audio combo jack 1x Ethernet (RJ-45) 1x Kensington Lock | Dimension: | Weight: | Warranty: Official Acer Warranty 2 Years",https://www.agres.id/products/acer-nitro-lite-16-core-i5-210h-rtx3050-6gb-16gb-512gb-w11ohs-160wuxga-180hz-100srgb-blit-2yadp-blk-71g5613,https://res.cloudinary.com/dbuug9eey/image/upload/v1765349552/products/zvxnvx2knqk7mzbalsve.jpg,"gaming berat, editing video, render 3d, layar besar, nyaman nonton, multimedia, menengah, layar mulus, gaming cepat, multitasking, lancar, kinerja cepat, boot cepat, loading cepat, office, kuliah, presentasi",cpu intel performa dasar gaming berat multitasking lancar penyimpanan besar berat layar besar layar bagus resolusi standar cocok gaming cocok kerja,acer nitro lite 16 intel core 5 210h nvidia geforce rtx 3050 ram 16gb ssd 512gb layar 16.0 inch cpu performa dasar gaming berat multitasking lancar penyimpanan besar bagus resolusi standar cocok kerja nugas skripsi kuliah sekolah pelajar mahasiswa browsing internet zoom meeting nonton film youtube word excel presentasi ppt kantor buka banyak tab aplikasi anti lelet coding programming programmer software analis data gamer rata kanan gta cyberpunk render 3d autocad blender sketchup video editor profesional premiere pro after effects editing nyaman multimedia mulus cepat office
